,num_id,id,name,category,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
11,29,acorn-pochette,Acorn Pochette,Accessories,,2400.0,bells,9600.0,bells,,,,,nh,item-acorn-pochette,https://villagerdb.com/images/items/full/acorn-pochette.0127660.png
12,30,acorn,Acorn,Usables,,200.0,bells,,,,,,,nh,item-acorn,https://villagerdb.com/images/items/thumb/acorn.55cdd99.png
13,31,acoustic-guitar,Acoustic Guitar,Furniture,,3210.0,bells,12840.0,bells,,True,8.0,softwood,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
14,31,acoustic-guitar,Acoustic Guitar,Furniture,,3210.0,bells,12840.0,bells,,True,3.0,iron-nugget,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
15,32,admirals-photo,Admiral's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
16,33,admirals-poster,Admiral's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
17,34,adventure-dress,Adventure Dress,Dresses,,700.0,bells,2800.0,bells,,,,,nh,item-adventure-dress,https://villagerdb.com/images/items/full/adventure-dress.e5556a8.png
18,35,aerobics-leggings,Aerobics Leggings,Socks,,175.0,bells,700.0,bells,,,,,nh,item-aerobics-leggings,https://villagerdb.com/images/items/full/aerobics-leggings.14cd346.png
19,38,after-school-jacket,After-school Jacket,Tops,,262.0,bells,1050.0,bells,,,,,nh,item-after-school-jacket,https://villagerdb.com/images/items/full/after-school-jacket.1867222.png
20,40,agent-kk,Agent K.K.,Music,True,800.0,bells,3200.0,bells,,,,,nh,,
21,41,agent-ss-photo,Agent S's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
22,42,agent-ss-poster,Agent S's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
23,43,agness-photo,Agnes's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
24,44,agness-poster,Agnes's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
25,45,agrias-butterfly-model,Agrias Butterfly Model,Furniture,,9000.0,bells,,,,,,,nh,item-agrias-butterfly-model,https://villagerdb.com/images/items/thumb/agrias-butterfly-model.e4ca430.png
26,46,agrias-butterfly,Agrias Butterfly,Bugs,False,3000.0,bells,12000.0,bells,,,,,nh,item-agrias-butterfly,https://villagerdb.com/images/items/thumb/agrias-butterfly.4936e2a.png
27,47,air-circulator,Air Circulator,Furniture,,275.0,bells,1100.0,bells,,,,,nh,item-air-circulator,https://villagerdb.com/images/items/thumb/air-circulator.7bd4f37.png
28,48,air-conditioner,Air Conditioner,Furniture,,15750.0,bells,63000.0,bells,,,,,nh,item-air-conditioner,https://villagerdb.com/images/items/thumb/air-conditioner.328dcb9.png
29,55,alfonsos-photo,Alfonso's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
30,56,alfonsos-poster,Alfonso's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
31,57,alices-photo,Alice's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
32,58,alices-poster,Alice's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
33,59,allis-photo,Alli's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
34,60,allis-poster,Alli's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
35,62,aloha-kk,Aloha K.K.,Music,True,800.0,bells,3200.0,bells,,,,,nh,,
36,76,alpinist-dress,Alpinist Dress,Dresses,True,630.0,bells,2520.0,bells,,,,,nh,item-alpinist-dress,https://villagerdb.com/images/items/full/alpinist-dress.46c499a.png
37,77,alpinist-hat,Alpinist Hat,Hats,,500.0,bells,2000.0,bells,,,,,nh,item-alpinist-hat,https://villagerdb.com/images/items/full/alpinist-hat.ba865e8.png
38,78,alpinist-overalls,Alpinist Overalls,Dresses,,630.0,bells,2520.0,bells,,,,,nh,item-alpinist-overalls,https://villagerdb.com/images/items/full/alpinist-overalls.238fbbf.png
39,79,als-photo,Al's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
40,80,als-poster,Al's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
41,81,alto-saxophone,Alto Saxophone,Furniture,,850.0,bells,3400.0,bells,,,,,nh,item-alto-saxophone,https://villagerdb.com/images/items/thumb/alto-saxophone.efadc81.png
42,82,aluminum-briefcase,Aluminum Briefcase,Furniture,,25000.0,bells,100000.0,bells,,,,,nh,item-aluminum-briefcase,https://villagerdb.com/images/items/thumb/aluminum-briefcase.5781d35.png
43,83,aluminum-rug,Aluminum Rug,Flooring,,375.0,bells,1500.0,bells,,,,,nh,,
44,86,amber,Amber,Fossils,False,1200.0,bells,,,Underground (dig spot),,,,nh,item-amber,https://villagerdb.com/images/items/thumb/amber.5dcc331.png
45,87,amelias-photo,Amelia's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
46,88,amelias-poster,Amelia's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
47,93,ammonite,Ammonite,Fossils,False,1100.0,bells,,,Underground (dig spot),,,,nh,item-ammonite,https://villagerdb.com/images/items/thumb/ammonite.2724f54.png
48,94,amp,Amp,Furniture,True,1275.0,bells,5100.0,bells,Nook's Cranny,False,,,nh,item-amp,https://villagerdb.com/images/items/thumb/amp.63f1df1.png
49,95,anabelles-photo,Anabelle's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
50,96,anabelles-poster,Anabelle's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
51,97,analog-kitchen-scale,Analog Kitchen Scale,Furniture,,275.0,bells,1100.0,bells,,,,,nh,item-analog-kitchen-scale,https://villagerdb.com/images/items/thumb/analog-kitchen-scale.edc922a.png
52,98,anatomical-model,Anatomical Model,Furniture,True,875.0,bells,3500.0,bells,,,,,nh,item-anatomical-model,https://villagerdb.com/images/items/thumb/anatomical-model.694fb2e.png
53,99,anchor-statue,Anchor Statue,Furniture,,1400.0,bells,5600.0,bells,,,,,nh,item-anchor-statue,https://villagerdb.com/images/items/thumb/anchor-statue.784fe28.png
54,101,anchovy-model,Anchovy Model,Furniture,,600.0,bells,,,,,,,nh,item-anchovy-model,https://villagerdb.com/images/items/thumb/anchovy-model.5786f18.png
55,102,anchovy,Anchovy,Fish,False,200.0,bells,,,"North: Small Shadows at Sea, All Year (4am-9pm)",,,,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
56,102,anchovy,Anchovy,Fish,False,200.0,bells,,,"South: Small Shadows at Sea, All Year (4am-9pm)",,,,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
57,103,anchovys-photo,Anchovy's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
58,104,anchovys-poster,Anchovy's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
59,105,ancient-administrator-hat,Ancient Administrator Hat,Hats,,800.0,bells,3200.0,bells,,,,,nh,item-ancient-administrator-hat,https://villagerdb.com/images/items/full/ancient-administrator-hat.8a25a8c.png
60,106,ancient-belted-robe,Ancient Belted Robe,Dresses,,910.0,bells,3640.0,bells,,,,,nh,item-ancient-belted-robe,https://villagerdb.com/images/items/full/ancient-belted-robe.b2df95e.png
61,108,ancient-sashed-robe,Ancient Sashed Robe,Dresses,,630.0,bells,2520.0,bells,,,,,nh,item-ancient-sashed-robe,https://villagerdb.com/images/items/full/ancient-sashed-robe.aaa58bf.png
62,111,ancient-wall,Ancient Wall,Wallpaper,,750.0,bells,3000.0,bells,,,,,nh,,
63,112,angelfish-model,Angelfish Model,Furniture,,9000.0,bells,,,,,,,nh,item-angelfish-model,https://villagerdb.com/images/items/thumb/angelfish-model.45ab44c.png
64,113,angelfish,Angelfish,Fish,False,3000.0,bells,,,"North: Small Shadows on River, May-Oct (4pm-9am)",,,,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
65,113,angelfish,Angelfish,Fish,False,3000.0,bells,,,"South: Small Shadows on River, Nov-Apr (4pm-9am)",,,,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
66,114,angled-signpost,Angled Signpost,Furniture,,600.0,bells,2400.0,bells,,True,2.0,hardwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
67,114,angled-signpost,Angled Signpost,Furniture,,600.0,bells,2400.0,bells,,True,3.0,softwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
68,115,anguss-photo,Angus's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
69,116,anguss-poster,Angus's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
70,117,anicottis-photo,Anicotti's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
71,118,anicottis-poster,Anicotti's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
72,119,animal-city,Animal City,Music,,800.0,bells,3200.0,bells,,,,,nh,,
73,120,animal-print-coat,Animal-print Coat,Tops,,580.0,bells,2320.0,bells,,,,,nh,item-animal-print-coat,https://villagerdb.com/images/items/full/animal-print-coat.9756d66.png
74,121,animal-stripes-skirt,Animal-stripes Skirt,Bottoms,True,275.0,bells,1100.0,bells,,,,,nh,item-animal-stripes-skirt,https://villagerdb.com/images/items/full/animal-stripes-skirt.623de44.png
75,122,animal-stripes-tee,Animal-stripes Tee,Tops,,240.0,bells,960.0,bells,,,,,nh,item-animal-stripes-tee,https://villagerdb.com/images/items/full/animal-stripes-tee.1b4ab41.png
76,124,ankhas-photo,Ankha's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
77,125,ankhas-poster,Ankha's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
78,127,ankylo-skull,Ankylo Skull,Fossils,False,3500.0,bells,,,Underground (dig spot),,,,nh,item-ankylo-skull,https://villagerdb.com/images/items/thumb/ankylo-skull.12aecbf.png
79,128,ankylo-tail,Ankylo Tail,Fossils,False,2500.0,bells,,,Underground (dig spot),,,,nh,item-ankylo-tail,https://villagerdb.com/images/items/thumb/ankylo-tail.d926a5b.png
80,129,ankylo-torso,Ankylo Torso,Fossils,False,3000.0,bells,,,Underground (dig spot),,,,nh,item-ankylo-torso,https://villagerdb.com/images/items/thumb/ankylo-torso.9c9813a.png
81,130,annalisas-photo,Annalisa's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
82,131,annalisas-poster,Annalisa's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
83,132,annalises-photo,Annalise's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
84,133,annalises-poster,Annalise's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
85,134,annyeong-tee,Annyeong Tee,Tops,True,160.0,bells,640.0,bells,Nook Shopping,,,,nh,item-annyeong-tee,https://villagerdb.com/images/items/full/annyeong-tee.628f8e0.png
86,135,anomalocaris,Anomalocaris,Fossils,False,2000.0,bells,,,Underground (dig spot),,,,nh,item-anomalocaris,https://villagerdb.com/images/items/thumb/anomalocaris.58e5284.png
87,136,anorak-jacket,Anorak Jacket,Tops,True,350.0,bells,1400.0,bells,Able Sisters,,,,nh,item-anorak-jacket,https://villagerdb.com/images/items/full/anorak-jacket.411373f.png
88,137,ant-farm,Ant Farm,Furniture,,350.0,bells,1400.0,bells,,,,,nh,item-ant-farm,https://villagerdb.com/images/items/thumb/ant-farm.a4b7bd0.png
89,138,ant-model,Ant Model,Furniture,,240.0,bells,,,,,,,nh,item-ant-model,https://villagerdb.com/images/items/thumb/ant-model.a4e39e0.png
90,139,ant,Ant,Bugs,False,80.0,bells,320.0,bells,,,,,nh,item-ant,https://villagerdb.com/images/items/thumb/ant.654241e.png
91,140,anthurium-plant,Anthurium Plant,Furniture,True,247.0,bells,990.0,bells,,,,,nh,item-anthurium-plant,https://villagerdb.com/images/items/thumb/anthurium-plant.486b1e2.png
92,141,antique-bed,Antique Bed,Furniture,True,7000.0,bells,28000.0,bells,,,,,nh,item-antique-bed,https://villagerdb.com/images/items/thumb/antique-bed.44de40a.png
93,142,antique-boots,Antique Boots,Shoes,,660.0,bells,2640.0,bells,,,,,nh,item-antique-boots,https://villagerdb.com/images/items/full/antique-boots.1ece19a.png
94,143,antique-bureau,Antique Bureau,Furniture,True,5000.0,bells,20000.0,bells,,,,,nh,item-antique-bureau,https://villagerdb.com/images/items/thumb/antique-bureau.dd47c41.png
95,144,antique-chair,Antique Chair,Furniture,True,2500.0,bells,10000.0,bells,,,,,nh,item-antique-chair,https://villagerdb.com/images/items/thumb/antique-chair.92bec1c.png
96,145,antique-clock,Antique Clock,Furniture,True,11000.0,bells,44000.0,bells,,,,,nh,item-antique-clock,https://villagerdb.com/images/items/thumb/antique-clock.b70c34c.png
97,146,antique-console-table,Antique Console Table,Furniture,True,4250.0,bells,17000.0,bells,,,,,nh,item-antique-console-table,https://villagerdb.com/images/items/thumb/antique-console-table.4f90323.png
98,147,antique-mini-table,Antique Mini Table,Furniture,True,1675.0,bells,6700.0,bells,Nook's Cranny,,,,nh,item-antique-mini-table,https://villagerdb.com/images/items/thumb/antique-mini-table.cb20989.png
99,148,antique-phone,Antique Phone,Furniture,,4000.0,bells,16000.0,bells,,,,,nh,item-antique-phone,https://villagerdb.com/images/items/thumb/antique-phone.66cecb2.png
100,150,antique-table,Antique Table,Furniture,True,6250.0,bells,25000.0,bells,,,,,nh,item-antique-table,https://villagerdb.com/images/items/thumb/antique-table.a3c9dcc.png
101,151,antique-vanity,Antique Vanity,Furniture,True,7750.0,bells,31000.0,bells,,,,,nh,item-antique-vanity,https://villagerdb.com/images/items/thumb/antique-vanity.ed5f291.png
102,152,antique-wardrobe,Antique Wardrobe,Furniture,True,9250.0,bells,37000.0,bells,,,,,nh,item-antique-wardrobe,https://villagerdb.com/images/items/thumb/antique-wardrobe.470a3de.png
103,153,antonios-photo,Antonio's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
104,154,antonios-poster,Antonio's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
105,155,ao-dai,Áo Dài,Dresses,True,630.0,bells,2520.0,bells,,,,,nh,item-ao-dai,https://villagerdb.com/images/items/full/ao-dai.d0e274f.png
106,160,apollos-photo,Apollo's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
107,161,apollos-poster,Apollo's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
108,162,apple-chair,Apple Chair,Furniture,,2480.0,bells,9920.0,bells,,,,,nh,item-apple-chair,https://villagerdb.com/images/items/thumb/apple-chair.e9dacd0.png
109,163,apple-dress,Apple Dress,Dresses,False,1600.0,bells,6400.0,bells,,False,8.0,apple,nh,item-apple-dress,https://villagerdb.com/images/items/full/apple-dress.effc3f8.png
110,164,apple-hat,Apple Hat,Hats,,1000.0,bells,4000.0,bells,,,,,nh,item-apple-hat,https://villagerdb.com/images/items/full/apple-hat.f53c0b3.png
111,165,apple-rug,Apple Rug,Flooring,,1200.0,bells,4800.0,bells,,,,,nh,,
112,166,apple-umbrella,Apple Umbrella,Umbrellas,,1400.0,bells,5600.0,bells,,,,,nh,item-apple-umbrella,https://villagerdb.com/images/items/full/apple-umbrella.d43dbbb.png
113,167,apple-wall,Apple Wall,Wallpaper,,4000.0,bells,16000.0,bells,,,,,nh,,
114,168,apple,Apple,Fruit,False,100.0,bells,400.0,bells,Shaking fruit tree,,,,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
115,168,apple,Apple,Fruit,False,100.0,bells,400.0,bells,Nook's Cranny,,,,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
116,169,apples-photo,Apple's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
117,170,apples-poster,Apple's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
118,171,apron-skirt,Apron Skirt,Bottoms,,175.0,bells,700.0,bells,,,,,nh,item-apron-skirt,https://villagerdb.com/images/items/full/apron-skirt.fa97145.png
119,172,apron,Apron,Tops,True,210.0,bells,840.0,bells,Able Sisters,,,,nh,item-apron,https://villagerdb.com/images/items/full/apron.1559aa7.png
120,175,aqua-tile-flooring,Aqua Tile Flooring,Flooring,True,225.0,bells,900.0,bells,Nook's Cranny,,,,nh,,
121,176,aqua-tile-wall,Aqua Tile Wall,Wallpaper,,355.0,bells,1420.0,bells,,,,,nh,,
122,177,aquarius-fragment,Aquarius Fragment,Usables,,500.0,bells,,,,,,,nh,item-aquarius-fragment,https://villagerdb.com/images/items/thumb/aquarius-fragment.03ea684.png
123,178,aquarius-urn,Aquarius Urn,Furniture,,22125.0,bells,88500.0,bells,,,,,nh,item-aquarius-urn,https://villagerdb.com/images/items/thumb/aquarius-urn.d3492c0.png
124,179,arabesque-flooring,Arabesque Flooring,Flooring,,530.0,bells,2120.0,bells,,,,,nh,,
125,180,aran-knit-cap,Aran-knit Cap,Hats,True,220.0,bells,880.0,bells,,,,,nh,item-aran-knit-cap,https://villagerdb.com/images/items/full/aran-knit-cap.05679ab.png
126,181,aran-knit-cardigan,Aran-knit Cardigan,Tops,,325.0,bells,1300.0,bells,,,,,nh,item-aran-knit-cardigan,https://villagerdb.com/images/items/full/aran-knit-cardigan.fcc01b3.png
127,182,aran-knit-socks,Aran-knit Socks,Socks,,180.0,bells,720.0,bells,,,,,nh,item-aran-knit-socks,https://villagerdb.com/images/items/full/aran-knit-socks.a224c4f.png
128,183,aran-knit-sweater,Aran-knit Sweater,Tops,,300.0,bells,1200.0,bells,,,,,nh,item-aran-knit-sweater,https://villagerdb.com/images/items/full/aran-knit-sweater.02a497c.png
129,184,arapaima-model,Arapaima Model,Furniture,,30000.0,bells,,,,,,,nh,item-arapaima-model,https://villagerdb.com/images/items/thumb/arapaima-model.11495d1.png
130,185,arapaima,Arapaima,Fish,False,10000.0,bells,,,"North: Huge Shadows on River, June-Sep (4pm-9am)",,,,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
131,185,arapaima,Arapaima,Fish,False,10000.0,bells,,,"South: Huge Shadows on River, Dec-Mar (4pm-9am)",,,,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
132,187,arcade-combat-game,Arcade Combat Game,Furniture,,16000.0,bells,64000.0,bells,,,,,nh,item-arcade-combat-game,https://villagerdb.com/images/items/thumb/arcade-combat-game.cb8ac28.png
133,188,arcade-fighting-game,Arcade Fighting Game,Furniture,,16000.0,bells,64000.0,bells,,,,,nh,item-arcade-fighting-game,https://villagerdb.com/images/items/thumb/arcade-fighting-game.e2a4a74.png
134,190,arcade-mahjong-game,Arcade Mahjong Game,Furniture,True,16000.0,bells,64000.0,bells,,,,,nh,item-arcade-mahjong-game,https://villagerdb.com/images/items/thumb/arcade-mahjong-game.1d71499.png
135,191,arcade-seat,Arcade Seat,Furniture,,325.0,bells,1300.0,bells,,,,,nh,item-arcade-seat,https://villagerdb.com/images/items/thumb/arcade-seat.2eb8a8e.png
136,192,archaeopteryx,Archaeopteryx,Fossils,False,1300.0,bells,,,Underground (dig spot),,,,nh,item-archaeopteryx,https://villagerdb.com/images/items/thumb/archaeopteryx.c316303.png
137,194,arched-brick-flooring,Arched-brick Flooring,Flooring,True,275.0,bells,1100.0,bells,Nook's Cranny,,,,nh,,
138,195,arched-window-wall,Arched-window Wall,Wallpaper,True,537.0,bells,2150.0,bells,Nook's Cranny,,,,nh,,
139,198,archelon-skull,Archelon Skull,Fossils,False,4000.0,bells,,,Underground (dig spot),,,,nh,item-archelon-skull,https://villagerdb.com/images/items/thumb/archelon-skull.b8b81ce.png
140,199,archelon-tail,Archelon Tail,Fossils,False,3500.0,bells,,,Underground (dig spot),,,,nh,item-archelon-tail,https://villagerdb.com/images/items/thumb/archelon-tail.4459ec6.png
141,205,argyle-crew-socks,Argyle Crew Socks,Socks,,180.0,bells,720.0,bells,,,,,nh,item-argyle-crew-socks,https://villagerdb.com/images/items/full/argyle-crew-socks.6264a56.png
142,209,argyle-sweater,Argyle Sweater,Tops,,300.0,bells,1200.0,bells,,,,,nh,item-argyle-sweater,https://villagerdb.com/images/items/full/argyle-sweater.cc0b0fa.png
143,211,argyle-tile-flooring,Argyle Tile Flooring,Flooring,True,437.0,bells,1750.0,bells,Nook's Cranny,,,,nh,,
144,212,argyle-vest,Argyle Vest,Tops,True,360.0,bells,1440.0,bells,Able Sisters,,,,nh,item-argyle-vest,https://villagerdb.com/images/items/full/argyle-vest.ca97cb5.png
145,213,aries-fragment,Aries Fragment,Usables,,500.0,bells,,,,,,,nh,item-aries-fragment,https://villagerdb.com/images/items/thumb/aries-fragment.6f9dc5b.png
146,214,aries-rocking-chair,Aries Rocking Chair,Furniture,False,12125.0,bells,48500.0,bells,,False,3.0,star-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
147,214,aries-rocking-chair,Aries Rocking Chair,Furniture,False,12125.0,bells,48500.0,bells,,False,2.0,aries-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
148,214,aries-rocking-chair,Aries Rocking Chair,Furniture,False,12125.0,bells,48500.0,bells,,False,1.0,gold-nugget,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
149,214,aries-rocking-chair,Aries Rocking Chair,Furniture,False,12125.0,bells,48500.0,bells,,False,5.0,stone,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
150,216,armor-shoes,Armor Shoes,Shoes,,3000.0,bells,12000.0,bells,,,,,nh,item-armor-shoes,https://villagerdb.com/images/items/full/armor-shoes.dfa1b25.png
151,218,aroma-pot,Aroma Pot,Furniture,False,600.0,bells,,,,True,3.0,clay,nh,item-aroma-pot,https://villagerdb.com/images/items/thumb/aroma-pot.8c2a92f.png
152,219,arowana-model,Arowana Model,Furniture,,30000.0,bells,,,,,,,nh,item-arowana-model,https://villagerdb.com/images/items/thumb/arowana-model.e05090e.png
153,220,arowana,Arowana,Fish,False,10000.0,bells,,,"North: Large Shadows on River, June-Sep (4pm-9am)",,,,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
154,220,arowana,Arowana,Fish,False,10000.0,bells,,,"South: Large Shadows on River, Dec-Mar (4pm-9am)",,,,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
155,222,artisanal-bug-cage,Artisanal Bug Cage,Furniture,,450.0,bells,1800.0,bells,,,,,nh,item-artisanal-bug-cage,https://villagerdb.com/images/items/thumb/artisanal-bug-cage.46f1375.png
156,223,artsy-parquet-flooring,Artsy Parquet Flooring,Flooring,True,450.0,bells,1800.0,bells,Nook's Cranny,,,,nh,,
157,225,asteroid,Asteroid,Furniture,,4000.0,bells,16000.0,bells,,,,,nh,item-asteroid,https://villagerdb.com/images/items/thumb/asteroid.affc3a0.png
158,226,astrids-photo,Astrid's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
159,227,astrids-poster,Astrid's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
160,233,astro-dress,Astro Dress,Dresses,,625.0,bells,2500.0,bells,,,,,nh,item-astro-dress,https://villagerdb.com/images/items/full/astro-dress.8f9dba0.png
161,242,astronaut-suit,Astronaut Suit,Furniture,,6250.0,bells,25000.0,bells,,,,,nh,item-astronaut-suit,https://villagerdb.com/images/items/thumb/astronaut-suit.1ce42bc.png
162,243,athletic-jacket,Athletic Jacket,Tops,True,240.0,bells,960.0,bells,Able Sisters,,,,nh,item-athletic-jacket,https://villagerdb.com/images/items/full/athletic-jacket.7dd2801.png
163,244,athletic-pants,Athletic Pants,Bottoms,,220.0,bells,880.0,bells,,,,,nh,item-athletic-pants,https://villagerdb.com/images/items/full/athletic-pants.957ff11.png
164,245,athletic-shorts,Athletic Shorts,Bottoms,True,140.0,bells,560.0,bells,,,,,nh,item-athletic-shorts,https://villagerdb.com/images/items/full/athletic-shorts.66fd71a.png
165,246,atlas-moth,Atlas Moth,Bugs,False,3000.0,bells,12000.0,bells,,,,,nh,item-atlas-moth,https://villagerdb.com/images/items/thumb/atlas-moth.bb9d6bd.png
166,247,attus-robe,Attus Robe,Dresses,,630.0,bells,2520.0,bells,,,,,nh,item-attus-robe,https://villagerdb.com/images/items/full/attus-robe.ae2d9b2.png
167,248,audies-photo,Audie's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
168,249,audies-poster,Audie's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
169,253,auroras-photo,Aurora's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
170,254,auroras-poster,Aurora's Poster,Photos,,250.0,bells,1000.0,bells,,,,,nh,,
171,255,australopith,Australopith,Fossils,False,1100.0,bells,,,Underground (dig spot),,,,nh,item-australopith,https://villagerdb.com/images/items/thumb/australopith.977bbc4.png
172,256,autograph-cards,Autograph Cards,Furniture,,350.0,bells,1400.0,bells,,,,,nh,item-autograph-cards,https://villagerdb.com/images/items/thumb/autograph-cards.031ba6a.png
173,257,automatic-washer,Automatic Washer,Furniture,True,1125.0,bells,4500.0,bells,,,,,nh,item-automatic-washer,https://villagerdb.com/images/items/thumb/automatic-washer.9405355.png
174,260,autumn-wall,Autumn Wall,Wallpaper,,4700.0,bells,18800.0,bells,,,,,nh,,
175,261,avas-photo,Ava's Photo,Photos,,10.0,bells,40.0,bells,,,,,nh,,
